Weapon,Skin,Rarity,Case,Price
P2000,Red FragCam,Mil-Spec Pistol,CS:GO Weapon Case 3,1.61
P250,See Ya Later,Covert Pistol,Spectrum 2 Case,2.72
P250,Visions,Classified Pistol,Recoil Case,3.07
P250,Asiimov,Classified Pistol,Chroma 3 Case,3.05
P250,Muertos,Classified Pistol,Chroma Case,4.4
P250,Cartel,Classified Pistol,Operation Vanguard Weapon Case,5.13
P250,Undertow,Classified Pistol,CS:GO Weapon Case 3,56.29
P250,Mehndi,Classified Pistol,Winter Offensive Weapon Case,12.01
P250,Cyber Shell,Restricted Pistol,Snakebite Case,0.23
P250,Inferno,Restricted Pistol,CS20 Case,0.71
P250,X-Ray,Restricted Pistol,X-Ray P250 Package,0.25
P250,Nevermore,Restricted Pistol,Danger Zone Case,0.55
P250,Red Rock,Restricted Pistol,Operation Hydra Case,7.27
P250,Wingshot,Restricted Pistol,Shadow Case,1.27
P250,Supernova,Restricted Pistol,Operation Breakout Weapon Case,0.58
P250,Splash,Restricted Pistol,eSports 2013 Case,29.49
P250,Re.built,Mil-Spec Pistol,Revolution Case,0.08
P250,Contaminant,Mil-Spec Pistol,Operation Broken Fang Case,0.58
P250,Cassette,Mil-Spec Pistol,Fracture Case,0.07
P250,Verdigris,Mil-Spec Pistol,Prisma Case,0.13
P250,Ripple,Mil-Spec Pistol,Spectrum Case,0.19
P250,Iron Clad,Mil-Spec Pistol,Gamma Case,0.1
P250,Valence,Mil-Spec Pistol,Chroma 2 Case,0.09
P250,Steel Disruption,Mil-Spec Pistol,eSports 2013 Winter Case,1.76
P250,Hive,Mil-Spec Pistol,CS:GO Weapon Case 2,5.47
R8 Revolver,Fade,Covert Pistol,Revolver Case,6.13
R8 Revolver,Skull Crusher,Classified Pistol,Prisma Case,1.53
R8 Revolver,Llama Cannon,Classified Pistol,Spectrum 2 Case,2.47
R8 Revolver,Banana Cannon,Restricted Pistol,Revolution Case,0.34
R8 Revolver,Crazy 8,Restricted Pistol,Recoil Case,0.53
R8 Revolver,Reboot,Restricted Pistol,Gamma Case,0.46
R8 Revolver,Junk Yard,Mil-Spec Pistol,Snakebite Case,0.11
R8 Revolver,Bone Forged,Mil-Spec Pistol,Prisma 2 Case,0.07
R8 Revolver,Memento,Mil-Spec Pistol,Shattered Web Case,1.09
R8 Revolver,Survivalist,Mil-Spec Pistol,Horizon Case,0.13
R8 Revolver,Grip,Mil-Spec Pistol,Clutch Case,0.07
R8 Revolver,Crimson Web,Mil-Spec Pistol,Revolver Case,0.09
Tec-9,Decimator,Classified Pistol,Shattered Web Case,10.48
Tec-9,Fuel Injector,Classified Pistol,Gamma 2 Case,2.44
Tec-9,Brother,Restricted Pistol,Fracture Case,0.37
Tec-9,Bamboozle,Restricted Pistol,Prisma Case,0.25
Tec-9,Re-Entry,Restricted Pistol,Chroma 3 Case,0.37
Tec-9,Avalanche,Restricted Pistol,Revolver Case,0.93
Tec-9,Titanium Bit,Restricted Pistol,CS:GO Weapon Case 3,6.99
Tec-9,Rebel,Mil-Spec Pistol,Revolution Case,0.08
Tec-9,Flash Out,Mil-Spec Pistol,CS20 Case,0.16
Tec-9,Fubar,Mil-Spec Pistol,Danger Zone Case,0.08
Tec-9,Snek-9,Mil-Spec Pistol,Horizon Case,0.14
